,decibel
0,-88.02718195074539
1,-66.05487955001678
2,-68.96798546367116
3,-72.03050913760858
4,-61.66210492023978
5,-69.52236206260824
6,-66.72813673086787
7,-75.8136334214302
8,-80.21290075179283
9,-95.27740210452818
10,-77.86360745146203
11,-74.3001656248906
12,-86.25742357764716
13,-73.02120879414787
14,-89.38443054758929
15,-72.27025313733252
16,-76.34946351496698
17,-74.39276516896658
18,-86.45295479614316
19,-87.88752702328034
20,-72.98426960980802
21,-78.01658404829065
22,-86.61952594779869
23,-74.5825160884448
24,-86.68745808212608
25,-91.95771237040913
26,-74.36276510242993
27,-75.54110058166168
28,-74.14897359352199
29,-76.41184821768003
30,-70.5715783246413
31,-65.88322579524016
32,-69.13580126441201
33,-78.56976580445648
34,-72.2886898681135
35,-67.8606299400767
36,-71.5810066093619
37,-82.54484110310558
38,-77.88299261101326
39,-80.13081831999118
40,-92.935243646317
41,-86.90474585624877
42,-71.96838489865968
43,-71.32197746983698
44,-66.71503876795762
45,-63.4848206396357
46,-86.1535756898555
47,-70.03736553824666
48,-76.30543079902702
49,-71.55160307736008
50,-91.39525120228045
51,-79.54590795211912
52,-74.3692660614661
53,-82.28849936149332
54,-71.53828297799619
55,-92.5318231802301
56,-82.53030740267414
57,-71.06468125074915
58,-71.97320403925445
59,-74.08742580083319
60,-84.12700197555813
61,-77.2162947216325
62,-71.89156512375752
63,-85.23775048826604
64,-71.60238815058838
65,-80.01726901350554
66,-85.01016868509413
67,-92.63789116028283
68,-75.55956989802054
69,-77.00747586319471
70,-72.54960931930377
71,-76.82342028112353
72,-82.71764700853583
73,-90.36633242314971
74,-78.99321037872654
75,-73.1387706679094
76,-85.1695899872104
77,-85.62886436486096
78,-85.75446483709743
79,-79.39886653952098
80,-83.60635357640811
81,-75.34871844987887
82,-81.48444702151238
83,-77.77245194548468
84,-75.17304724494146
85,-87.85964606773044
86,-84.20514858253983
87,-71.67244182670002
88,-83.56427690093471
89,-93.26716279823991
90,-69.22260548646294
91,-99.6353329077104
92,-74.30782622771954
93,-78.12766503734473
94,-69.4296257268009
95,-63.2193892913117
96,-66.90787359343727
97,-73.4470305808322
98,-82.5792699391022
99,-92.26266983777408
100,-71.13974595200023
101,-69.02899662481485
102,-81.55916658353313
103,-76.13049975595477
104,-85.67393322630137
105,-81.97445492283211
106,-73.87117085139779
107,-92.81077047237288
108,-87.70738180435346
109,-82.54586975118217
110,-80.43023120888864
111,-78.25018271787772
112,-74.47412865732119
113,-70.12057873018261
114,-74.79073792448287
115,-78.56956450939973
116,-94.04477454624961
117,-82.2796375171425
118,-75.41973503599485
119,-78.74156019253392
120,-70.89746065320314
121,-69.8483108859908
122,-97.64126702999634
123,-85.08757795484621
124,-85.20872335204034
125,-76.80364287771002
126,-70.43691609919304
127,-85.91788378293978
128,-81.91815106517147
129,-85.30568443723979
130,-74.90106432846399
131,-71.36307077803608
132,-87.61213690780595
133,-96.11465005822907
134,-83.3054785744376
135,-77.39835863359814
136,-87.00302719956221
137,-77.30581120199436
138,-91.31049838210025
139,-78.67776620012374
140,-85.42609746547703
141,-80.25018628423176
142,-100.03564081341379
143,-86.15084273375373
144,-80.4359641745799
145,-82.37374031221066
146,-76.87692915578764
147,-80.40544799456954
148,-80.64127488737927
149,-81.20927283984577
150,-75.38194136688183
151,-87.91841695043075
152,-82.58987443351475
153,-72.07792037041314
154,-70.44775112348657
155,-73.76978464910067
156,-83.37752446458009
157,-83.92485050698721
158,-81.30432285054617
159,-78.16405199516292
160,-80.6926414375398
161,-75.4272329178402
162,-76.31686375501884
163,-85.08975373785596
164,-75.720147704826
165,-76.28858043542175
166,-96.54596265385422
