,decibel
44100,34.65235603050522
44101,37.158189549662886
44102,41.77871255206446
44103,55.98732600476848
44104,46.41866753198511
44105,39.847072172292435
44106,36.82095757910753
44107,35.11564180540175
44108,34.0173654278275
44109,33.2777149031443
44110,32.88922242398285
44111,32.50057112964848
44112,31.787283226725446
44113,31.094826364333787
44114,30.943999506909165
44115,31.53858113861675
44116,32.79041707823624
44117,34.17179582967948
44118,35.23732401251302
44119,36.40812110058476
44120,38.256887370950835
44121,40.85386971285011
44122,44.3098951889835
44123,49.56046874038188
44124,58.82760133418216
44125,83.77687356144092
44126,71.70561863348442
44127,83.31929865583417
44128,62.009531739778005
44129,57.534052603084234
44130,83.31929865583417
44131,50.75404540735309
44132,44.9413316743673
44133,43.905973553995146
44134,47.13986430754444
44135,90.30899869919436
44136,45.983715075337734
44137,40.853426623035
44138,38.55451842806107
44139,37.40993338634829
44140,36.8301587265126
44141,36.01382559964349
44142,34.78216447684032
44143,33.475533438567176
44144,32.25805631007209
44145,31.36522600399982
44146,30.841821474008352
44147,30.23117110864362
44148,29.293672474533512
44149,28.370787321108722
44150,27.970195629894082
44151,28.37774714777534
44152,29.469300615721995
44153,30.878831923288516
44154,32.33449506740449
44155,33.78746394679984
44156,35.45443926749407
44157,37.351557897907526
44158,38.34379647645174
44159,37.62948285824389
44160,36.40801496952636
44161,35.22181660919874
44162,33.77454829581452
44163,32.584677695938815
44164,32.389440945497576
44165,33.19250786591677
44166,34.716877138893565
44167,36.77510725823079
44168,38.82809540506554
44169,40.07116701618159
44170,39.46493411090924
44171,37.05382154129749
44172,34.63092711373966
44173,33.15631690470202
44174,32.54540155265981
44175,32.5622636741978
44176,32.97732709447875
44177,33.51304375248772
44178,33.89182900053311
44179,33.73571472802756
44180,33.15621651426186
44181,32.69271933463625
44182,32.61866496474025
44183,33.09025804550656
44184,34.3982802471189
44185,36.88546286897731
44186,41.090989846136885
44187,48.30049371828358
44188,74.02510939869124
44189,50.66168948865807
44190,43.50011640239199
44191,39.08683991646609
44192,36.089736319288846
44193,33.89837939783481
44194,32.16614641403594
44195,30.444674207985752
44196,28.46861791292547
44197,26.52761805665305
44198,25.036265719520298
44199,24.1505235751478
44200,23.843952775274623
44201,23.895677215536427
44202,23.99798801075626
44203,24.109998249008925
44204,24.355969742068723
44205,24.688326592372057
44206,24.9914098706188
44207,25.17223904841693
44208,25.062342313148143
44209,24.6316690858921
44210,24.120653139032072
44211,23.774090143407307
44212,23.662249475143827
44213,23.73732970491032
44214,23.958177798511006
44215,24.38008170616571
44216,24.986714839507734
44217,25.54054841934242
44218,25.84686136543748
44219,26.0121217382404
44220,26.23201413702808
44221,26.533236350153988
44222,26.85693222918244
44223,27.07564219939256
44224,26.992244181864994
44225,26.618004895749795
44226,26.234745462128203
44227,26.169780348650235
44228,26.567044559221277
44229,27.37093633286769
44230,28.454582971884083
44231,29.644522473194623
44232,30.73169781551642
44233,31.818205921064887
44234,33.180410671293984
44235,34.72428306476753
44236,35.74994949942704
44237,35.21435908410868
44238,33.16234877056899
44239,31.000249246100793
44240,29.57640611669202
44241,28.945281464271126
44242,29.01234141661009
44243,29.644537380440866
44244,30.613951972170987
44245,31.725717494447018
44246,32.83677281613514
44247,33.755131319367145
44248,34.38444964356363
44249,34.9066802849292
44250,35.7419078856115
44251,36.75684047710904
44252,37.08216541696451
44253,36.73861203099981
44254,37.02551871219708
44255,39.19494519724992
44256,44.01057211790756
44257,50.7078599788275
44258,52.69197502378023
44259,49.51990142781501
44260,48.13034440576722
44261,49.84385195938405
44262,56.59001175140695
44263,65.95533363306774
44264,57.24260428895174
44265,65.41644701550175
44266,61.842535413423185
44267,58.48485217484882
44268,62.88567587562287
44269,75.4660003057265
44270,67.29869874255455
44271,52.08568306837121
44272,44.116290994355715
44273,40.11141962776013
44274,38.98024085973205
44275,40.50964717486324
44276,45.10757093949287
44277,57.932304860410106
44278,50.98502214915972
44279,42.65019061843597
44280,37.91654211599152
44281,34.86990061668036
44282,32.889151621962085
44283,31.659523405651292
44284,31.118610227937978
44285,31.10909671113696
44286,31.267674710226633
44287,31.19523836683371
44288,30.8141496322055
44289,30.471191493422634
44290,30.54226927122493
44291,31.345619058717173
44292,33.33289596502267
44293,37.03489845069909
44294,43.700723232210535
44295,65.64032249565327
44296,43.188481555331904
44297,39.31666526925695
44298,39.75640068176759
44299,43.96861146161311
44300,52.69197502378023
44301,64.482684304298
44302,57.53863981747325
44303,49.132806150638146
44304,44.64285631680319
44305,42.05977150250152
44306,40.60876277436626
44307,41.16649294572865
44308,46.19945581684551
44309,55.345238159070355
44310,40.68014612914826
44311,35.782602627982925
44312,33.03659225916585
44313,31.190423590820778
44314,29.964156005381927
44315,29.39080847966322
44316,29.489044850724547
44317,30.20109700236698
44318,31.389779057547685
44319,32.71558435194268
44320,33.72933814063978
44321,34.37750095255337
44322,34.98069082197556
44323,35.54925217252575
44324,35.798898731370855
44325,35.191488218745036
44326,33.49429783466649
44327,31.306570382869833
44328,29.520701827441343
44329,28.57468542029671
44330,28.171577190155187
44331,27.79609102356648
44332,27.451813618182523
44333,27.3338348560571
44334,27.45182261577345
44335,27.796105633408658
44336,28.301576854693067
44337,28.783473591110006
44338,29.129089381773206
44339,29.3168864472949
44340,29.457484880679132
44341,29.664684633234728
44342,29.94331253066374
44343,30.25269632083184
44344,30.546737306514025
44345,30.88811169696063
44346,31.253128248029416
44347,31.30169615341051
44348,31.118547433154042
44349,31.166429454781266
44350,31.404517434930142
44351,31.528511154901135
